2.0,5.0,0.0,2386.73,2525.87,408.825,732.423
3.0,5.0,0.0,2399.61,2545.72,408.979,712.007
4.0,5.0,0.0,2410.71,2549.31,396.02,701.276
5.0,5.0,0.0,2421.36,2551.53,388.4,691.798
6.0,5.0,0.0,2439.28,2554.57,379.183,675.433
7.0,5.0,0.0,2450.53,2558.7,360.144,666.779
8.0,5.0,0.0,2458.37,2557.02,361.731,654.808
9.0,5.0,0.0,2480.96,2559.04,351.923,651.346
10.0,5.0,0.0,2486.54,2559.62,336.49,642.548
11.0,5.0,0.0,2492.6,2559.71,321.49,631.01
12.0,5.0,0.0,2503.34,2558.2,320.337,616.587
13.0,5.0,0.0,2514.68,2556.09,294.808,616.731
14.0,5.0,0.0,2521.2,2558.8,303.029,564.664
15.0,5.0,0.0,2536.96,2558.43,287.38,549.736
16.0,5.0,0.0,2536.96,2558.43,287.38,549.736
